Loading STEP file: /workspace/reference/Osterath_Habitat_1225 AF.step
Found 61 solids.
ID   | Volume (mm3)    | Center (X, Y, Z)               | BBox Min                       | BBox Max                      
47   | 1982334.91      | (0.00, 100.00, 1250.00)        | (-371.00, 42.85, 1192.85)      | (371.00, 157.15, 1307.15)     
48   | 1982334.91      | (0.00, 100.00, 2050.00)        | (-371.00, 42.85, 1992.85)      | (371.00, 157.15, 2107.15)     
49   | 2457881.56      | (-0.00, 100.00, 2850.00)       | (-460.00, 42.85, 2792.85)      | (460.00, 157.15, 2907.15)     
50   | 2457881.56      | (-0.00, 100.00, 3650.00)       | (-460.00, 42.85, 3592.85)      | (460.00, 157.15, 3707.15)     
51   | 2457881.56      | (-0.00, 100.00, 4450.00)       | (-460.00, 42.85, 4392.85)      | (460.00, 157.15, 4507.15)     
52   | 1982334.91      | (0.00, 100.00, 5250.00)        | (-371.00, 42.85, 5192.85)      | (371.00, 157.15, 5307.15)     
53   | 93682.30        | (415.00, 127.06, 1135.65)      | (365.00, 86.00, 1093.00)       | (465.00, 198.00, 1147.00)     
54   | 93682.30        | (415.00, 127.06, 2634.35)      | (365.00, 86.00, 2623.00)       | (465.00, 198.00, 2677.00)     
55   | 852343.10       | (-782.50, 148.00, 1060.00)     | (-1110.00, 88.00, 1028.00)     | (-455.00, 208.00, 1092.00)    
56   | 14355503.99     | (-414.40, 99.68, 3168.38)      | (-455.00, -0.00, 755.00)       | (-375.00, 200.00, 5655.00)    
57   | 14038879.04     | (414.39, 98.49, 3197.33)       | (375.00, -0.00, 755.00)        | (455.00, 200.00, 5655.00)     
58   | 2273574.43      | (456.43, 204.00, 1884.50)      | (366.50, 200.00, 1093.00)      | (546.50, 208.00, 2677.00)     
59   | 2273574.43      | (456.43, 204.00, 1884.50)      | (366.50, 200.00, 1093.00)      | (546.50, 208.00, 2677.00)     
60   | 454800000.00    | (886.44, -295.00, 1601.64)     | (590.00, -570.00, 898.00)      | (1190.00, -20.00, 2298.00)    
